Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Description,Risk target
42,female,2,rent,rich,rich,409,12,radio/TV,"3. This application is from a 42-year-old female with a mid-level job, who rents her housing but has rich savings and checking account balances. She is seeking a $409 loan for 12 months to purchase a radio or TV.",Good risk
34,male,2,own,little,moderate,2415,7,radio/TV,"4. The applicant is a 34-year-old male with a mid-level job, who owns a home and has little savings but a moderate checking account balance. He is requesting a $2,415 loan for 7 months to purchase a radio or TV.",Bad risk
63,male,2,own,little,little,6836,60,business,"5. This credit application is from a 63-year-old male with a mid-level job, who owns a home but has little savings and checking account balances. He is seeking a substantial loan of $6,836 for 60 months for business purposes.",Bad risk
36,male,2,own,rich,moderate,1913,18,business,"1. The applicant is a 36-year-old male with a stable job and good financial standing. He owns his home and has a rich savings account and moderate checking account balance. He is seeking a business loan of $1,913 with an 18-month repayment period.",Good risk
27,male,2,own,little,little,4020,24,furniture/equipment,"2. The applicant is a 27-year-old male with a stable job and moderate financial standing. He owns his home but has little savings and checking account balances. He is seeking a loan of $4,020 for furniture or equipment, with a 24-month repayment period.",Bad risk
30,male,2,own,moderate,moderate,5866,18,car,"3. The applicant is a 30-year-old male with a stable job and moderate financial standing. He owns his home and has moderate savings and checking account balances. He is seeking a car loan of $5,866 with an 18-month repayment period.",Good risk
57,male,1,rent,moderate,moderate,1264,12,business,"4. The applicant is a 57-year-old male with a lower job level and rents his housing. He has moderate savings and checking account balances. He is seeking a business loan of $1,264 with a 12-month repayment period.",Bad risk
33,female,3,own,little,rich,1474,12,furniture/equipment,"5. The applicant is a 33-year-old female with a higher job level and owns her home. She has little savings but a rich checking account balance. She is seeking a loan of $1,474 for furniture or equipment, with a 12-month repayment period.",Good risk
25,male,1,own,little,moderate,4746,45,radio/TV,1. The credit applicant is a 25-year-old male with a moderate checking account balance and little savings. He is employed at job level 1 and owns his housing. The requested credit amount is 4746 for a 45-month loan to purchase a radio/TV.,Bad risk
31,male,2,free,little,moderate,6110,48,education,2. The applicant is a 31-year-old male with a moderate checking account balance and little savings. He is employed at job level 2 and has free housing. The requested credit amount is 6110 for a 48-month loan for educational purposes.,Bad risk
37,male,2,own,little,rich,2100,18,radio/TV,3. The 37-year-old male applicant has a rich checking account balance and little savings. He is employed at job level 2 and owns his housing. The requested credit amount is 2100 for an 18-month loan to purchase a radio/TV.,Good risk
37,male,2,own,little,rich,1225,10,domestic appliances,4. The applicant is a 37-year-old male with a rich checking account balance and little savings. He is employed at job level 2 and owns his housing. The requested credit amount is 1225 for a 10-month loan to purchase domestic appliances.,Good risk
24,male,2,own,little,moderate,458,9,radio/TV,5. The 24-year-old male applicant has a moderate checking account balance and little savings. He is employed at job level 2 and owns his housing. The requested credit amount is 458 for a 9-month loan to purchase a radio/TV.,Good risk
30,male,3,own,quite rich,moderate,2333,30,radio/TV,"1. The applicant is a 30-year-old male with a job level of 3, indicating a stable income. He owns a home and has a quite rich savings account and moderate checking account balance, suggesting good financial management. The requested credit amount of 2333 with a 30-month loan duration for the purpose of purchasing a radio/TV seems reasonable given his financial profile.",Good risk
26,male,2,own,quite rich,moderate,1158,12,radio/TV,"2. The applicant is a 26-year-old male with a job level of 2, indicating a moderate income. He owns a home and has a quite rich savings account and moderate checking account balance, suggesting good financial management. The requested credit amount of 1158 with a 12-month loan duration for the purpose of purchasing a radio/TV seems manageable given his financial profile.",Good risk
44,male,1,own,little,moderate,6204,18,repairs,"3. The applicant is a 44-year-old male with a job level of 1, indicating a lower income. He owns a home but has a little savings account balance and moderate checking account balance, suggesting modest financial resources. The requested credit amount of 6204 with an 18-month loan duration for the purpose of home repairs is significant but may be justified if the repairs are necessary.",Bad risk
24,male,2,rent,moderate,little,6187,30,car,"4. The applicant is a 24-year-old male with a job level of 2, indicating a moderate income. He rents a home and has a moderate savings account balance and little checking account balance, suggesting limited financial resources. The requested credit amount of 6187 with a 30-month loan duration for the purpose of purchasing a car is substantial and may require careful consideration given his financial profile.",Bad risk
58,female,1,free,little,little,6143,48,car,"5. The applicant is a 58-year-old female with a job level of 1, indicating a lower income. She has free housing but has little savings and checking account balances, suggesting limited financial resources. The requested credit amount of 6143 with a 48-month loan duration for the purpose of purchasing a car is significant and may require careful evaluation given her financial situation.",Bad risk
35,female,3,own,little,moderate,1393,11,car,"1. The applicant is a 35-year-old female with a moderate job level and owns a home. She has little savings but a moderate checking account balance. She is seeking a loan of $1,393 for 11 months to purchase a car.",Good risk
39,male,2,own,quite rich,moderate,2299,36,radio/TV,"2. The applicant is a 39-year-old male with a moderate job level and owns a home. He has quite a rich savings account and a moderate checking account balance. He is seeking a loan of $2,299 for 36 months to purchase a radio/TV.",Good risk
23,female,0,rent,quite rich,little,1352,6,car,"3. The applicant is a 23-year-old female with no job and rents her housing. She has quite a rich savings account but a little checking account balance. She is seeking a loan of $1,352 for 6 months to purchase a car.",Bad risk
39,male,1,own,little,moderate,7228,11,car,"4. The applicant is a 39-year-old male with a low job level and owns a home. He has little savings but a moderate checking account balance. He is seeking a loan of $7,228 for 11 months to purchase a car.",Bad risk
28,female,2,own,moderate,moderate,2073,12,radio/TV,"5. The applicant is a 28-year-old female with a moderate job level and owns a home. She has moderate savings and a moderate checking account balance. She is seeking a loan of $2,073 for 12 months to purchase a radio/TV.",Good risk
29,male,1,own,little,moderate,2333,24,furniture/equipment,"1. This is a credit application from a 29-year-old male with a moderate checking account balance and little savings. He is employed at job level 1 and owns his own housing. The requested credit amount is $2,333 for a 24-month term, intended for the purpose of purchasing furniture or equipment.",Good risk
30,male,3,own,little,moderate,5965,27,car,"2. This credit application is from a 30-year-old male employed at job level 3, owning his own housing. He has a moderate checking account balance and little savings. The requested credit amount is $5,965 for a 27-month term, with the purpose of purchasing a car.",Good risk
25,male,2,own,little,moderate,1262,12,radio/TV,"3. The applicant is a 25-year-old male employed at job level 2, owning his own housing. He has a moderate checking account balance and little savings. The requested credit amount is $1,262 for a 12-month term, intended for the purchase of a radio or TV.",Good risk
31,male,2,own,little,moderate,3378,18,car,"4. This is a credit application from a 31-year-old male employed at job level 2, owning his own housing. He has a moderate checking account balance and little savings. The requested credit amount is $3,378 for an 18-month term, with the purpose of purchasing a car.",Good risk
57,male,2,free,little,moderate,2225,36,car,"5. The applicant is a 57-year-old male employed at job level 2, living in free housing. He has a moderate checking account balance and little savings. The requested credit amount is $2,225 for a 36-month term, intended for the purchase of a car.",Good risk
26,male,1,own,little,moderate,783,6,car,1. The applicant is a 26-year-old male with a moderate checking account balance and little savings. He is employed at job level 1 and owns his housing. The credit requested is $783 for a 6-month loan to purchase a car.,Good risk
52,male,3,own,little,moderate,6468,12,radio/TV,"2. The applicant is a 52-year-old male with moderate balances in his checking and savings accounts. He is employed at job level 3 and owns his housing. The credit requested is $6,468 for a 12-month loan to purchase a radio/TV.",Good risk
31,female,2,own,little,moderate,9566,36,radio/TV,"3. The applicant is a 31-year-old female with moderate balances in her checking and savings accounts. She is employed at job level 2 and owns her housing. The credit requested is $9,566 for a 36-month loan to purchase a radio/TV.",Bad risk
23,female,3,own,little,rich,1961,18,car,"4. The applicant is a 23-year-old female with a rich checking account balance and little savings. She is employed at job level 3 and owns her housing. The credit requested is $1,961 for an 18-month loan to purchase a car.",Good risk
23,female,1,rent,little,little,6229,36,furniture/equipment,"5. The applicant is a 23-year-old female with little balances in her checking and savings accounts. She is employed at job level 1 and rents her housing. The credit requested is $6,229 for a 36-month loan to purchase furniture/equipment.",Bad risk
27,male,2,own,little,moderate,1391,9,business,"1. The applicant is a 27-year-old male with a moderate checking account balance and little savings. He is employed at job level 2 and owns his own home. He is seeking a 9-month business loan of $1,391.",Good risk
50,male,2,own,little,moderate,1537,15,radio/TV,"2. The applicant is a 50-year-old male with a moderate checking account balance and little savings. He is employed at job level 2 and owns his own home. He is seeking a 15-month loan of $1,537 for the purpose of purchasing a radio or TV.",Good risk
61,male,3,free,little,moderate,1953,36,business,"3. The applicant is a 61-year-old male with a moderate checking account balance and little savings. He is employed at job level 3 and has free housing. He is seeking a 36-month business loan of $1,953.",Good risk
25,male,2,own,little,moderate,14421,48,business,"4. The applicant is a 25-year-old male with a moderate checking account balance and little savings. He is employed at job level 2 and owns his own home. He is seeking a substantial 48-month business loan of $14,421.",Bad risk
26,female,2,own,little,moderate,3181,24,radio/TV,"5. The applicant is a 26-year-old female with a moderate checking account balance and little savings. She is employed at job level 2 and owns her own home. She is seeking a 24-month loan of $3,181 for the purpose of purchasing a radio or TV.",Good risk
48,male,2,own,little,moderate,5190,27,repairs,"1. The credit applicant is a 48-year-old male with a job level of 2, who owns a home. He has little savings but a moderate checking account balance. He is seeking a loan of 5190 for 27 months to finance repairs.",Good risk
29,female,2,own,little,moderate,2171,12,radio/TV,"2. The credit applicant is a 29-year-old female with a job level of 2, who owns a home. She has little savings but a moderate checking account balance. She is seeking a loan of 2171 for 12 months to purchase a radio/TV.",Good risk
22,male,2,own,rich,moderate,1007,12,car,"3. The credit applicant is a 22-year-old male with a job level of 2, who owns a home. He has rich savings and a moderate checking account balance. He is seeking a loan of 1007 for 12 months to purchase a car.",Good risk
37,male,2,free,little,moderate,1819,36,education,"4. The credit applicant is a 37-year-old male with a job level of 2, who has free housing. He has little savings but a moderate checking account balance. He is seeking a loan of 1819 for 36 months to finance education.",Good risk
25,female,2,own,little,moderate,2394,36,radio/TV,"5. The credit applicant is a 25-year-old female with a job level of 2, who owns a home. She has little savings but a moderate checking account balance. She is seeking a loan of 2394 for 36 months to purchase a radio/TV.",Good risk
30,female,2,own,little,moderate,8133,36,car,"1. The applicant is a 30-year-old female with a job level of 2, who owns her housing. She has little savings and a moderate checking account balance. She is seeking a credit amount of $8,133 for a car loan with a duration of 36 months.",Bad risk
46,male,1,rent,moderate,moderate,730,7,radio/TV,"2. The applicant is a 46-year-old male with a job level of 1, who rents his housing. He has moderate savings and a moderate checking account balance. He is seeking a credit amount of $730 for a radio/TV purchase with a loan duration of 7 months.",Good risk
51,male,3,free,little,little,1164,8,vacation/others,"3. The applicant is a 51-year-old male with a job level of 3, who has free housing. He has little savings and a little checking account balance. He is seeking a credit amount of $1,164 for a vacation or other purposes with a loan duration of 8 months.",Bad risk
41,female,1,own,little,moderate,5954,42,business,"4. The applicant is a 41-year-old female with a job level of 1, who owns her housing. She has little savings and a moderate checking account balance. She is seeking a credit amount of $5,954 for a business loan with a duration of 42 months.",Bad risk
40,male,3,own,little,little,1977,36,education,"5. The applicant is a 40-year-old male with a job level of 3, who owns his housing. He has little savings and a little checking account balance. He is seeking a credit amount of $1,977 for an education loan with a duration of 36 months.",Bad risk
66,male,3,free,little,little,1526,12,car,"1. The applicant is a 66-year-old male with a job level of 3 and free housing. He has little savings and checking account balances. He is seeking a loan of 1526 for a car, with a loan duration of 12 months.",Bad risk
34,male,2,own,little,little,3965,42,radio/TV,"2. The applicant is a 34-year-old male with a job level of 2 and owns his housing. He has little savings and checking account balances. He is seeking a loan of 3965 for a radio/TV, with a loan duration of 42 months.",Bad risk
51,male,2,own,little,moderate,4771,11,radio/TV,"3. The applicant is a 51-year-old male with a job level of 2 and owns his housing. He has little savings and moderate checking account balances. He is seeking a loan of 4771 for a radio/TV, with a loan duration of 11 months.",Bad risk
39,male,1,own,little,moderate,9436,54,car,"4. The applicant is a 39-year-old male with a job level of 1 and owns his housing. He has little savings and moderate checking account balances. He is seeking a loan of 9436 for a car, with a loan duration of 54 months.",Bad risk
22,male,2,own,little,moderate,3832,30,furniture/equipment,"5. The applicant is a 22-year-old male with a job level of 2 and owns his housing. He has little savings and moderate checking account balances. He is seeking a loan of 3832 for furniture/equipment, with a loan duration of 30 months.",Good risk
44,female,2,own,little,moderate,5943,24,radio/TV,"1. This 44-year-old female applicant with a mid-level job and homeownership has applied for a credit amount of $5,943 with a loan duration of 24 months. Her savings account balance is low, but she maintains a moderate checking account balance. The purpose of the credit is for purchasing a radio or TV.",Good risk
47,male,2,own,quite rich,moderate,1213,15,radio/TV,"2. This 47-year-old male applicant with a mid-level job and homeownership has applied for a credit amount of $1,213 with a loan duration of 15 months. He has a quite rich savings account and a moderate checking account balance. The purpose of the credit is for purchasing a radio or TV.",Good risk
24,female,1,rent,moderate,moderate,1568,18,business,"3. This 24-year-old female applicant with an entry-level job and renting housing has applied for a credit amount of $1,568 with a loan duration of 18 months. She has moderate balances in both her savings and checking accounts. The purpose of the credit is for a business venture.",Good risk
58,female,1,own,little,little,1755,24,vacation/others,"4. This 58-year-old female applicant with an entry-level job and homeownership has applied for a credit amount of $1,755 with a loan duration of 24 months. She has little savings and a low checking account balance. The purpose of the credit is for a vacation or other personal reasons.",Bad risk
52,male,1,own,little,little,2315,10,radio/TV,"5. This 52-year-old male applicant with an entry-level job and homeownership has applied for a credit amount of $2,315 with a loan duration of 10 months. He has little savings and a low checking account balance. The purpose of the credit is for purchasing a radio or TV.",Bad risk
29,female,3,own,little,moderate,1412,12,business,"1. The applicant is a 29-year-old female with a moderate job level and little savings. She owns her housing and has a moderate checking account balance. The requested credit amount is $1,412 for a 12-month business loan.",Good risk
27,female,2,own,little,moderate,1295,18,furniture/equipment,"2. The applicant is a 27-year-old female with a lower job level and little savings. She owns her housing and has a moderate checking account balance. The requested credit amount is $1,295 for an 18-month furniture/equipment loan.",Good risk
47,male,2,free,moderate,moderate,12612,36,education,"3. The applicant is a 47-year-old male with a lower job level and moderate savings. He has free housing and a moderate checking account balance. The requested credit amount is $12,612 for a 36-month education loan.",Bad risk
30,male,3,own,moderate,little,2249,18,car,"4. The applicant is a 30-year-old male with a moderate job level and moderate savings. He owns his housing and has a little checking account balance. The requested credit amount is $2,249 for an 18-month car loan.",Good risk
28,male,2,own,little,little,1108,12,repairs,"5. The applicant is a 28-year-old male with a lower job level and little savings. He owns his housing and has a little checking account balance. The requested credit amount is $1,108 for a 12-month repairs loan.",Good risk
56,male,2,own,little,moderate,618,12,radio/TV,1. The applicant is a 56-year-old male with a moderate job level and owns a home. He has little savings but a moderate checking account balance. He is seeking a credit amount of $618 for a 12-month loan to purchase a radio or TV.,Good risk
54,male,2,own,little,little,1409,12,car,"2. The applicant is a 54-year-old male with a moderate job level and owns a home. He has little savings and a little checking account balance. He is seeking a credit amount of $1,409 for a 12-month loan to purchase a car.",Good risk
33,female,1,own,moderate,moderate,797,12,radio/TV,3. The applicant is a 33-year-old female with an entry-level job and owns a home. She has moderate savings and a moderate checking account balance. She is seeking a credit amount of $797 for a 12-month loan to purchase a radio or TV.,Good risk
20,male,2,rent,little,rich,3617,24,furniture/equipment,"4. The applicant is a 20-year-old male with a moderate job level and rents a home. He has little savings but a rich checking account balance. He is seeking a credit amount of $3,617 for a 24-month loan to purchase furniture or equipment.",Bad risk
54,male,2,own,rich,moderate,1318,12,car,"5. The applicant is a 54-year-old male with a moderate job level and owns a home. He has rich savings and a moderate checking account balance. He is seeking a credit amount of $1,318 for a 12-month loan to purchase a car.",Good risk
58,male,2,rent,little,moderate,15945,54,business,"1. This is a 58-year-old male applicant with a moderate income level and a moderate checking account balance. He is seeking a substantial loan amount of $15,945 for business purposes over a loan duration of 54 months. However, he has little savings and is renting his housing, which could indicate potential risk factors.",Bad risk
61,female,2,own,little,moderate,2012,12,education,"2. This is a 61-year-old female applicant with a moderate income level and a moderate checking account balance. She is seeking a relatively small loan amount of $2,012 for education purposes over a loan duration of 12 months. She owns her housing, which is a positive factor, but she has little savings.",Good risk
34,male,2,own,moderate,moderate,2622,18,business,"3. This is a 34-year-old male applicant with a moderate income level, moderate savings, and a moderate checking account balance. He is seeking a loan amount of $2,622 for business purposes over a loan duration of 18 months. The fact that he owns his housing and has moderate savings could be considered positive factors.",Good risk
36,male,2,own,little,moderate,2337,36,radio/TV,"4. This is a 36-year-old male applicant with a moderate income level and a moderate checking account balance. He is seeking a loan amount of $2,337 for the purpose of purchasing a radio/TV over a loan duration of 36 months. While he owns his housing, which is a positive factor, he has little savings.",Good risk
36,male,3,rent,little,moderate,7057,20,car,"5. This is a 36-year-old male applicant with a higher income level (job level 3) and a moderate checking account balance. He is seeking a substantial loan amount of $7,057 for the purpose of purchasing a car over a loan duration of 20 months. However, he has little savings and is renting his housing, which could indicate potential risk factors.",Bad risk
41,male,1,rent,moderate,moderate,1469,24,car,"1. This credit applicant is a 41-year-old male with a moderate level of savings and checking account balances. He is seeking a loan of $1,469 for a car purchase, with a repayment period of 24 months. Given his age and employment level, his credit situation appears to be stable and manageable.",Good risk
24,male,2,rent,little,moderate,2323,36,radio/TV,"2. The applicant is a 24-year-old male with little savings but a moderate checking account balance. He is requesting a loan of $2,323 for the purchase of a radio or TV, with a repayment period of 36 months. Despite his young age and modest financial resources, his employment level and loan purpose suggest a reasonable credit risk.",Good risk
24,female,2,own,little,moderate,932,6,radio/TV,"3. This 24-year-old female applicant owns her own home, indicating a level of financial stability. However, she has little savings and a moderate checking account balance. She is seeking a loan of $932 for the purchase of a radio or TV, with a repayment period of 6 months. The relatively small loan amount and short repayment period may offset the potential risks associated with her limited financial resources.",Good risk
35,male,2,rent,little,moderate,1919,9,furniture/equipment,"4. The applicant is a 35-year-old male renter with little savings but a moderate checking account balance. He is requesting a loan of $1,919 for furniture or equipment purchases, with a repayment period of 9 months. His age and employment level suggest a stable income, although the loan purpose and limited savings could be potential risk factors.",Good risk
26,male,2,rent,little,moderate,2445,12,car,"5. This 26-year-old male renter has little savings but a moderate checking account balance. He is seeking a loan of $2,445 for a car purchase, with a repayment period of 12 months. While his age and employment level are favorable, the relatively large loan amount and short repayment period could present a higher credit risk.",Bad risk
39,male,3,own,little,moderate,11938,24,vacation/others,"1. This applicant, a 39-year-old male with a moderate job level, owns a home and has little savings but a moderate checking account balance. He is seeking a loan of $11,938 over 24 months for vacation/other purposes.",Bad risk
39,male,3,own,little,moderate,6458,18,car,"2. This 39-year-old male applicant, with a moderate job level, owns a home and has little savings but a moderate checking account balance. He is requesting a loan of $6,458 over 18 months to purchase a car.",Good risk
32,male,2,own,little,moderate,6078,12,car,"3. The applicant is a 32-year-old male with a lower job level who owns a home. He has little savings but a moderate checking account balance. He is seeking a loan of $6,078 over 12 months to purchase a car.",Bad risk
30,female,2,own,little,little,7721,24,furniture/equipment,"4. This 30-year-old female applicant has a lower job level and owns a home. She has little savings and a little checking account balance. She is requesting a loan of $7,721 over 24 months for furniture/equipment.",Bad risk
35,male,2,own,quite rich,moderate,1410,14,business,"5. The applicant is a 35-year-old male with a lower job level who owns a home. He has quite rich savings and a moderate checking account balance. He is seeking a loan of $1,410 over 14 months for business purposes.",Good risk
31,male,2,own,moderate,moderate,1449,6,business,"1. This credit application is from a 31-year-old male with a moderate level of savings and checking accounts. He is employed at job level 2 and owns his own housing. The credit amount requested is 1449 for a 6-month loan duration, with the purpose being for a business.",Good risk
23,female,2,rent,little,rich,392,15,education,"2. The applicant is a 23-year-old female with little savings and a rich checking account. She is employed at job level 2 and rents her housing. The credit amount requested is 392 for a 15-month loan duration, with the purpose being for education.",Good risk
28,male,1,rent,little,moderate,6260,18,car,"3. This application is from a 28-year-old male with little savings and a moderate checking account. He is employed at job level 1 and rents his housing. The credit amount requested is 6260 for an 18-month loan duration, with the purpose being for a car.",Bad risk
25,female,2,own,little,moderate,7855,36,car,"4. The applicant is a 25-year-old female with little savings and a moderate checking account. She is employed at job level 2 and owns her own housing. The credit amount requested is 7855 for a 36-month loan duration, with the purpose being for a car.",Bad risk
35,male,2,own,quite rich,little,1680,12,radio/TV,"5. This credit application is from a 35-year-old male with quite rich savings and little in his checking account. He is employed at job level 2 and owns his own housing. The credit amount requested is 1680 for a 12-month loan duration, with the purpose being for a radio/TV.",Good risk
47,male,2,own,little,moderate,3578,48,radio/TV,"1. This credit applicant is a 47-year-old male with a job level of 2, indicating a moderate income. He owns his own home and has little savings but a moderate checking account balance. He is seeking a loan of $3,578 for a radio/TV purchase, with a loan duration of 48 months.",Bad risk
30,female,3,own,little,little,7174,42,radio/TV,"2. The applicant is a 30-year-old female with a job level of 3, suggesting a higher income level. She owns her own home but has little savings and a little checking account balance. She is requesting a loan of $7,174 for a radio/TV purchase, with a loan duration of 42 months.",Bad risk
27,female,2,rent,little,little,2132,10,furniture/equipment,"3. This 27-year-old female applicant has a job level of 2, indicating a moderate income. She rents her housing and has little savings and a little checking account balance. She is seeking a loan of $2,132 for furniture/equipment purchase, with a loan duration of 10 months.",Good risk
23,female,2,own,quite rich,little,4281,33,furniture/equipment,"4. The applicant is a 23-year-old female with a job level of 2, suggesting a moderate income. She owns her own home and has quite a rich savings account but little checking account balance. She is requesting a loan of $4,281 for furniture/equipment purchase, with a loan duration of 33 months.",Good risk
36,male,3,own,quite rich,moderate,2366,12,car,"5. This credit applicant is a 36-year-old male with a job level of 3, indicating a higher income level. He owns his own home and has quite a rich savings account and a moderate checking account balance. He is seeking a loan of $2,366 for a car purchase, with a loan duration of 12 months.",Good risk
25,female,2,own,little,little,1835,21,radio/TV,"1. The applicant is a 25-year-old female with a job level of 2, owning her own housing. She has little savings and checking account balances. She is seeking a credit amount of 1835 for a 21-month loan to purchase a radio/TV.",Good risk
41,female,3,rent,little,moderate,3868,24,car,"2. The applicant is a 41-year-old female with a job level of 3, renting her housing. She has little savings and moderate checking account balances. She is seeking a credit amount of 3868 for a 24-month loan to purchase a car.",Good risk
24,male,1,rent,little,moderate,1768,12,furniture/equipment,"3. The applicant is a 24-year-old male with a job level of 1, renting his housing. He has little savings and moderate checking account balances. He is seeking a credit amount of 1768 for a 12-month loan to purchase furniture or equipment.",Good risk
63,male,2,free,little,rich,781,10,car,"4. The applicant is a 63-year-old male with a job level of 2, living in free housing. He has little savings and a rich checking account balance. He is seeking a credit amount of 781 for a 10-month loan to purchase a car.",Good risk
